alpha,beta,score
0.05,0.1,0.8454489717149138
0.05,0.5,0.8487814276893125
0.05,1.0,0.845136330177684
0.05,2.0,0.8463715005979707
0.05,5.0,0.846303137222207
0.1,0.1,0.8451153548613488
0.1,0.5,0.8453977978789665
0.1,1.0,0.8454840205569314
0.1,2.0,0.8454058297413283
0.1,5.0,0.8461139946614571
0.2,0.1,0.8449120492714889
0.2,0.5,0.8457592416520263
0.2,1.0,0.8462299461955864
0.2,2.0,0.8457754016270397
0.2,5.0,0.8457900456200188
0.5,0.1,0.8481184456768832
0.5,0.5,0.8464214463791848
0.5,1.0,0.8473603967519746
0.5,2.0,0.845927837949861
0.5,5.0,0.8457175136741065
1.0,0.1,0.8458907600100849
1.0,0.5,0.8458107363852517
1.0,1.0,0.8442269561512712
1.0,2.0,0.844720561935508
1.0,5.0,0.8441957413935341
